original_title,cast_count,directors_count,writers_count,producers_count,composers_count,cinematographers_count,editors_count,editorial_department_count,casting_directors_count,production_designers_count,art_directors_count,set_decorators_count,costume_designers_count,make_up_department_count,production_managers_count,assistant_directors_count,art_department_count,sound_department_count,special_effects_count,visual_effects_count,stunts_count,camera_department_count,animation_department_count,casting_department_count,costume_departmen_count,location_management_count,music_department_count,script_department_count,transportation_department_count,miscellaneous_count,miscellaneous_count,writer_count,director_count,production_companies_count,distributors_count,special_effects_companies_count,other_companies_count,total_people
Cats (2019),79,1,1,10,1,1,1,26,1,1,5,1,1,21,6,11,77,41,13,759,29,59,114,3,34,4,73,2,10,72,72,3,1,5,22,4,11,1575
Emo the Musical (2016),86,1,1,6,3,1,1,4,1,1,1,1,1,7,3,7,12,8,2,1,1,20,1,3,2,2,10,2,1,29,29,1,1,1,1,1,21,274
Sunday School Musical (2008),108,1,1,4,1,1,2,4,1,1,1,1,1,1,1,3,1,8,1,1,1,9,1,1,1,1,12,1,1,11,11,2,1,1,7,1,1,206
Paul Blart: Mall Cop 2 (2015),186,1,1,8,1,1,1,11,1,1,1,1,1,14,5,7,20,24,10,42,28,43,2,6,6,8,13,1,7,46,46,3,1,4,25,1,19,596
Waterworld (1995),54,1,2,10,1,1,1,18,1,1,1,1,1,11,5,12,39,72,71,128,103,55,2,5,13,5,38,2,11,78,78,2,1,4,59,19,32,938
Battlefield Earth (2000),36,1,1,10,1,1,1,7,1,1,2,2,1,25,4,11,33,40,25,158,49,40,1,1,5,4,14,2,5,40,40,3,1,6,38,25,29,664
Striking Distance (1993),47,1,2,6,1,1,2,5,1,1,1,1,1,8,3,7,24,22,5,1,26,38,1,3,4,3,8,2,7,40,40,2,1,2,27,1,35,380
Twilight (2008),49,1,1,9,1,1,1,13,2,1,2,1,1,22,6,13,78,27,11,130,44,93,1,13,19,13,47,3,49,127,127,2,1,6,43,8,52,1018
The Twilight Saga: New Moon (2009),57,1,1,10,1,1,1,17,3,1,2,1,1,25,8,18,53,23,9,153,65,95,8,19,7,11,20,2,8,101,101,2,1,5,60,3,41,935
The Lizzie McGuire Movie (2003),57,1,1,7,1,1,1,14,1,1,1,1,2,7,5,7,25,29,3,28,12,33,19,9,9,8,20,2,6,88,88,3,1,2,18,2,23,536
Gigli (2003),58,1,1,5,1,1,2,10,1,1,1,1,1,14,3,8,19,16,10,23,3,33,1,3,6,6,23,1,7,58,58,1,1,3,22,1,11,415
Anon (2018),53,1,1,14,1,1,1,7,3,1,1,1,1,14,4,10,19,22,5,42,6,42,1,4,7,13,7,4,10,40,40,1,1,2,27,1,10,418
Step Sisters (2018),72,1,1,16,3,1,1,5,1,2,1,2,1,14,3,7,16,23,1,5,5,31,1,6,5,8,13,2,8,44,44,1,1,1,3,1,8,358
Rip Tide (2017),37,1,1,15,1,1,1,4,1,1,1,1,1,6,1,5,1,16,1,12,1,16,1,4,4,3,9,1,1,27,27,1,1,6,4,1,2,217
Starship Troopers (1997),99,1,1,6,1,1,2,10,2,1,2,1,1,31,3,9,52,47,61,550,48,63,2,7,13,4,27,2,8,50,50,2,1,4,68,17,32,1279
The Clique (2008),34,1,1,4,1,1,1,7,1,1,1,1,1,6,2,3,12,22,1,5,4,28,1,2,5,6,3,2,2,26,26,2,1,1,9,1,7,232
The Last Airbender (2010),101,1,1,13,1,1,1,12,1,1,5,1,1,19,5,7,119,40,46,429,87,76,8,15,51,8,71,1,6,99,99,1,1,5,51,6,40,1430
Sleepover (2004),47,1,1,4,1,1,1,6,2,1,1,1,1,6,2,3,22,15,2,4,14,24,1,5,5,4,17,1,6,44,44,1,1,3,16,1,16,325
The Adventures of Sharkboy and Lavagirl 3-D (2005),25,1,1,4,3,1,1,12,1,1,3,2,1,8,3,3,19,24,9,523,14,18,7,5,4,1,5,2,1,40,40,3,1,3,24,12,6,831
The Roommate (2011),46,1,1,6,1,1,1,4,1,1,1,1,1,6,1,5,30,15,1,12,10,25,1,3,11,6,12,2,7,27,27,1,1,2,22,1,18,312
Mortal Kombat (1995),34,1,1,5,1,1,1,8,3,1,1,1,1,7,6,6,36,26,27,67,57,18,1,5,7,3,10,1,3,40,40,3,1,2,40,17,22,504
Ghost Rider (2007),57,1,1,11,1,1,1,12,3,1,2,1,1,22,9,13,63,43,37,300,52,56,2,9,21,7,43,1,8,69,69,2,1,7,31,7,32,997
Sex and the City 2 (2010),186,1,1,11,1,1,1,12,2,1,2,2,5,32,4,18,74,27,9,42,25,75,1,7,28,31,35,1,11,97,97,3,1,4,28,3,34,913
The Adventures of Pluto Nash (2002),63,1,1,7,1,1,2,3,1,1,4,3,1,12,5,9,46,33,21,158,18,39,1,2,8,2,42,1,8,49,49,1,1,4,22,10,13,643
Scooby-Doo (2002),71,1,1,11,1,1,1,13,1,1,4,4,1,21,9,10,76,38,31,305,49,31,9,6,16,3,50,4,1,67,67,3,1,3,55,9,26,1001
Silent Hill (2006),52,1,1,8,2,1,1,13,1,1,2,1,1,32,4,17,24,45,43,249,29,32,1,2,4,4,4,2,9,49,49,1,1,7,43,13,41,790
Resident Evil (2002),30,1,1,11,2,1,1,10,2,1,2,1,1,19,7,8,53,37,66,80,29,75,1,6,16,9,5,2,27,77,77,1,1,12,47,8,53,780
Yinz (2018),15,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,3,1,1,1,1,4,1,1,2,2,1,1,1,1,1,2,66
The Anomaly (2014),56,1,1,20,1,1,2,5,1,1,2,1,1,13,3,4,14,22,5,28,9,30,1,5,7,2,1,1,7,40,40,2,1,3,11,1,12,355
Birdemic: Shock and Terror (2010),47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,4,1,1,91
Super Mario Bros. (1993),53,2,3,4,1,1,1,8,2,1,1,1,1,16,2,10,43,34,24,48,23,30,1,2,6,1,16,2,5,22,22,3,2,6,56,4,26,483
Trolls World Tour (2020),39,2,1,4,1,1,1,11,1,1,1,1,1,1,4,1,23,17,1,101,1,1,68,2,1,1,48,1,1,67,67,3,2,2,27,1,26,532
The Rocky Horror Picture Show (1975),48,1,1,3,1,1,1,2,1,1,1,1,1,8,1,2,10,7,3,1,1,7,1,1,2,1,15,1,1,22,22,3,1,2,49,1,7,232
Street Fighter (1994),50,1,1,10,1,1,5,20,2,1,2,2,1,7,8,12,35,53,14,20,61,34,1,4,14,1,18,1,2,62,62,1,1,2,28,2,36,576
A Very Country Christmas (2017),25,1,1,4,1,1,1,7,1,1,1,1,1,4,3,4,4,10,1,3,1,13,1,1,3,2,2,1,2,11,11,3,1,1,5,1,1,135
Santa Girl (2019),31,1,1,12,1,1,1,1,1,1,1,1,1,6,1,3,1,12,1,1,1,6,1,1,1,1,2,1,1,2,2,1,1,3,1,1,1,106
We Can Be Heroes (2020),70,1,1,4,1,1,1,9,2,1,2,2,1,21,4,4,35,17,4,237,23,22,7,2,11,3,13,1,3,33,33,1,1,3,1,9,2,586
Spice World (1997),62,1,1,8,1,1,1,7,2,1,2,1,1,5,3,7,41,24,5,6,21,56,1,1,5,4,8,2,25,47,47,3,1,5,26,2,85,519
Star Trek IV: The Voyage Home (1986),66,1,1,4,1,1,1,4,1,1,2,1,1,11,1,6,24,27,8,77,13,21,1,3,6,3,88,1,2,27,27,3,1,2,33,2,19,491
I Know Who Killed Me (2007),49,1,1,8,1,1,1,8,1,1,1,1,1,12,1,2,26,21,10,19,4,19,1,5,5,4,7,1,11,25,25,1,1,1,20,3,7,306
Jungle 2 Jungle (1997),44,1,1,9,1,1,1,3,1,1,1,1,1,4,3,3,17,16,1,21,28,7,1,2,1,4,18,1,1,24,24,3,1,2,19,2,6,275
Howard the Duck (1986),63,1,1,4,1,1,2,14,2,1,2,2,1,6,2,6,23,51,15,132,16,30,1,3,11,1,14,2,5,29,29,3,1,2,29,2,6,514
She's All That (1999),80,1,1,12,1,1,1,7,2,1,1,1,1,6,4,6,13,31,1,1,3,27,1,2,6,3,15,1,3,35,35,1,1,4,29,1,5,344
Hackers (1995),74,1,1,6,2,1,2,8,2,1,1,2,1,5,2,8,33,23,6,43,19,33,1,2,5,5,3,1,2,47,47,1,1,2,30,4,16,441
Batman & Robin (1997),101,1,1,5,1,1,2,11,1,1,2,1,2,38,3,10,124,58,65,227,150,79,1,3,54,5,56,2,6,124,124,2,1,2,72,12,22,1370
My Brother the Pig (1999),23,1,1,8,1,1,1,1,2,1,1,1,1,2,1,1,4,9,3,1,2,5,1,1,1,1,1,1,1,8,8,1,1,1,8,1,1,107
Catwoman (2004),61,1,1,10,1,1,1,12,1,1,4,2,1,20,11,15,82,41,35,312,120,79,1,8,26,9,76,5,16,115,115,3,1,6,56,13,28,1290
